name,full_path,extension,pair_key,side,size_bytes
UD_002_A_0108_03_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0108_03_a.jpg,.jpg,UD_002_A_0108_03,a,26888846
UD_002_A_0108_03_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0108_03_b.jpg,.jpg,UD_002_A_0108_03,b,16121228
UD_002_A_0108_04_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0108_04_a.jpg,.jpg,UD_002_A_0108_04,a,26888846
UD_002_A_0108_04_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0108_04_b.jpg,.jpg,UD_002_A_0108_04,b,16121228
UD_002_A_0109_01_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0109_01_a.jpg,.jpg,UD_002_A_0109_01,a,19546609
UD_002_A_0109_01_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0109_01_b.jpg,.jpg,UD_002_A_0109_01,b,20427532
UD_002_A_0109_02_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0109_02_a.jpg,.jpg,UD_002_A_0109_02,a,19546609
UD_002_A_0109_02_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0109_02_b.jpg,.jpg,UD_002_A_0109_02,b,20427532
UD_002_A_0109_03_a.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0109_03_a.jpg,.jpg,UD_002_A_0109_03,a,19546609
UD_002_A_0109_03_b.jpg,C:\Users\Meybells\Downloads\incoming-assets\inventory-photos\s-and-s-sports-memorabilia\4UP\oriented\UD_002_A_0109_03_b.jpg,.jpg,UD_002_A_0109_03,b,20427532
