PairKey,SourceLayout,AFile,BFile,ABackbone,ARotateCW,AOrientationSource,BRotateCW,BOrientationSource,BMatchMinMargin,LayoutCopies,Status
UD_001_B_052_04,UD_001_B_052,UD_001_B_052_04_a.jpg,UD_001_B_052_04_b.jpg,left,270,human-corrected,0,wario-verified,0.167296,4,READY
UD_001_B_075_01,UD_001_B_075,UD_001_B_075_01_a.jpg,UD_001_B_075_01_b.jpg,left,270,human-corrected,90,wario-verified,0.165218,4,READY
UD_001_B_075_02,UD_001_B_075,UD_001_B_075_02_a.jpg,UD_001_B_075_02_b.jpg,left,270,human-corrected,90,wario-verified,0.165218,4,READY
UD_001_B_075_03,UD_001_B_075,UD_001_B_075_03_a.jpg,UD_001_B_075_03_b.jpg,left,270,human-corrected,90,wario-verified,0.165218,4,READY
UD_001_B_075_04,UD_001_B_075,UD_001_B_075_04_a.jpg,UD_001_B_075_04_b.jpg,left,270,human-corrected,90,wario-verified,0.165218,4,READY
UD_001_B_077_01,UD_001_B_077,UD_001_B_077_01_a.jpg,UD_001_B_077_01_b.jpg,left,270,human-corrected,90,wario-verified,0.192035,4,READY
UD_001_B_077_02,UD_001_B_077,UD_001_B_077_02_a.jpg,UD_001_B_077_02_b.jpg,left,270,human-corrected,90,wario-verified,0.192035,4,READY
UD_001_B_077_03,UD_001_B_077,UD_001_B_077_03_a.jpg,UD_001_B_077_03_b.jpg,left,270,human-corrected,90,wario-verified,0.192035,4,READY
UD_001_B_077_04,UD_001_B_077,UD_001_B_077_04_a.jpg,UD_001_B_077_04_b.jpg,left,270,human-corrected,90,wario-verified,0.192035,4,READY
UD_001_B_078_01,UD_001_B_078,UD_001_B_078_01_a.jpg,UD_001_B_078_01_b.jpg,left,270,human-corrected,90,wario-verified,0.160248,4,READY
UD_001_B_078_02,UD_001_B_078,UD_001_B_078_02_a.jpg,UD_001_B_078_02_b.jpg,left,270,human-corrected,90,wario-verified,0.160248,4,READY
UD_001_B_078_03,UD_001_B_078,UD_001_B_078_03_a.jpg,UD_001_B_078_03_b.jpg,left,270,human-corrected,90,wario-verified,0.160248,4,READY
UD_001_B_078_04,UD_001_B_078,UD_001_B_078_04_a.jpg,UD_001_B_078_04_b.jpg,left,270,human-corrected,90,wario-verified,0.160248,4,READY
UD_001_B_079_01,UD_001_B_079,UD_001_B_079_01_a.jpg,UD_001_B_079_01_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.152662,4,READY
UD_001_B_079_02,UD_001_B_079,UD_001_B_079_02_a.jpg,UD_001_B_079_02_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.152662,4,READY
UD_001_B_079_03,UD_001_B_079,UD_001_B_079_03_a.jpg,UD_001_B_079_03_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.152662,4,READY
UD_001_B_079_04,UD_001_B_079,UD_001_B_079_04_a.jpg,UD_001_B_079_04_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.152662,4,READY
UD_001_C_054_01,UD_001_C_054,UD_001_C_054_01_a.jpg,UD_001_C_054_01_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.144043,4,READY
UD_001_C_054_02,UD_001_C_054,UD_001_C_054_02_a.jpg,UD_001_C_054_02_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.144043,4,READY
UD_001_C_054_03,UD_001_C_054,UD_001_C_054_03_a.jpg,UD_001_C_054_03_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.144043,4,READY
UD_001_C_054_04,UD_001_C_054,UD_001_C_054_04_a.jpg,UD_001_C_054_04_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.144043,4,READY
UD_001_C_056_01,UD_001_C_056,UD_001_C_056_01_a.jpg,UD_001_C_056_01_b.jpg,left,270,human-corrected,270,human-corrected,0.154031,4,READY
UD_001_C_056_02,UD_001_C_056,UD_001_C_056_02_a.jpg,UD_001_C_056_02_b.jpg,left,270,human-corrected,270,human-corrected,0.154031,4,READY
UD_001_C_056_03,UD_001_C_056,UD_001_C_056_03_a.jpg,UD_001_C_056_03_b.jpg,left,270,human-corrected,270,human-corrected,0.154031,4,READY
UD_001_C_056_04,UD_001_C_056,UD_001_C_056_04_a.jpg,UD_001_C_056_04_b.jpg,left,270,human-corrected,270,human-corrected,0.154031,4,READY
UD_001_C_057_01,UD_001_C_057,UD_001_C_057_01_a.jpg,UD_001_C_057_01_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.106374,4,READY
UD_001_C_057_02,UD_001_C_057,UD_001_C_057_02_a.jpg,UD_001_C_057_02_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.106374,4,READY
UD_001_C_057_03,UD_001_C_057,UD_001_C_057_03_a.jpg,UD_001_C_057_03_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.106374,4,READY
UD_001_C_057_04,UD_001_C_057,UD_001_C_057_04_a.jpg,UD_001_C_057_04_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.106374,4,READY
UD_001_C_058_01,UD_001_C_058,UD_001_C_058_01_a.jpg,UD_001_C_058_01_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.118545,4,READY
UD_001_C_058_02,UD_001_C_058,UD_001_C_058_02_a.jpg,UD_001_C_058_02_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.118545,4,READY
UD_001_C_058_03,UD_001_C_058,UD_001_C_058_03_a.jpg,UD_001_C_058_03_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.118545,4,READY
UD_001_C_058_04,UD_001_C_058,UD_001_C_058_04_a.jpg,UD_001_C_058_04_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.118545,4,READY
UD_001_C_059_01,UD_001_C_059,UD_001_C_059_01_a.jpg,UD_001_C_059_01_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.130738,4,READY
UD_001_C_059_02,UD_001_C_059,UD_001_C_059_02_a.jpg,UD_001_C_059_02_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.130738,4,READY
UD_001_C_059_03,UD_001_C_059,UD_001_C_059_03_a.jpg,UD_001_C_059_03_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.130738,4,READY
UD_001_C_059_04,UD_001_C_059,UD_001_C_059_04_a.jpg,UD_001_C_059_04_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.130738,4,READY
UD_001_C_060_01,UD_001_C_060,UD_001_C_060_01_a.jpg,UD_001_C_060_01_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.122209,4,READY
UD_001_C_060_02,UD_001_C_060,UD_001_C_060_02_a.jpg,UD_001_C_060_02_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.122209,4,READY
UD_001_C_060_03,UD_001_C_060,UD_001_C_060_03_a.jpg,UD_001_C_060_03_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.122209,4,READY
UD_001_C_060_04,UD_001_C_060,UD_001_C_060_04_a.jpg,UD_001_C_060_04_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.122209,4,READY
UD_001_C_061_01,UD_001_C_061,UD_001_C_061_01_a.jpg,UD_001_C_061_01_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.148111,4,READY
UD_001_C_061_02,UD_001_C_061,UD_001_C_061_02_a.jpg,UD_001_C_061_02_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.148111,4,READY
UD_001_C_061_03,UD_001_C_061,UD_001_C_061_03_a.jpg,UD_001_C_061_03_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.148111,4,READY
UD_001_C_061_04,UD_001_C_061,UD_001_C_061_04_a.jpg,UD_001_C_061_04_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.148111,4,READY
UD_001_C_081_01,UD_001_C_081,UD_001_C_081_01_a.jpg,UD_001_C_081_01_b.jpg,left,270,human-corrected,90,wario-verified,0.171338,4,READY
UD_001_C_081_02,UD_001_C_081,UD_001_C_081_02_a.jpg,UD_001_C_081_02_b.jpg,left,270,human-corrected,90,wario-verified,0.171338,4,READY
UD_001_C_081_03,UD_001_C_081,UD_001_C_081_03_a.jpg,UD_001_C_081_03_b.jpg,left,270,human-corrected,90,wario-verified,0.171338,4,READY
UD_001_C_081_04,UD_001_C_081,UD_001_C_081_04_a.jpg,UD_001_C_081_04_b.jpg,left,270,human-corrected,90,wario-verified,0.171338,4,READY
UD_001_C_082_01,UD_001_C_082,UD_001_C_082_01_a.jpg,UD_001_C_082_01_b.jpg,left,270,human-corrected,90,wario-verified,0.196826,4,READY
UD_001_C_082_02,UD_001_C_082,UD_001_C_082_02_a.jpg,UD_001_C_082_02_b.jpg,left,270,human-corrected,90,wario-verified,0.196826,4,READY
UD_001_C_082_03,UD_001_C_082,UD_001_C_082_03_a.jpg,UD_001_C_082_03_b.jpg,left,270,human-corrected,90,wario-verified,0.196826,4,READY
UD_001_C_082_04,UD_001_C_082,UD_001_C_082_04_a.jpg,UD_001_C_082_04_b.jpg,left,270,human-corrected,90,wario-verified,0.196826,4,READY
UD_001_C_083_01,UD_001_C_083,UD_001_C_083_01_a.jpg,UD_001_C_083_01_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.125078,4,READY
UD_001_C_083_02,UD_001_C_083,UD_001_C_083_02_a.jpg,UD_001_C_083_02_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.125078,4,READY
UD_001_C_083_03,UD_001_C_083,UD_001_C_083_03_a.jpg,UD_001_C_083_03_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.125078,4,READY
UD_001_C_083_04,UD_001_C_083,UD_001_C_083_04_a.jpg,UD_001_C_083_04_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.125078,4,READY
UD_001_C_084_01,UD_001_C_084,UD_001_C_084_01_a.jpg,UD_001_C_084_01_b.jpg,left,270,human-corrected,90,wario-verified,0.170327,4,READY
UD_001_C_084_02,UD_001_C_084,UD_001_C_084_02_a.jpg,UD_001_C_084_02_b.jpg,left,270,human-corrected,90,wario-verified,0.170327,4,READY
UD_001_C_084_03,UD_001_C_084,UD_001_C_084_03_a.jpg,UD_001_C_084_03_b.jpg,left,270,human-corrected,90,wario-verified,0.170327,4,READY
UD_001_C_084_04,UD_001_C_084,UD_001_C_084_04_a.jpg,UD_001_C_084_04_b.jpg,left,270,human-corrected,90,wario-verified,0.170327,4,READY
UD_001_C_085_01,UD_001_C_085,UD_001_C_085_01_a.jpg,UD_001_C_085_01_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.133891,4,READY
UD_001_C_085_02,UD_001_C_085,UD_001_C_085_02_a.jpg,UD_001_C_085_02_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.133891,4,READY
UD_001_C_085_03,UD_001_C_085,UD_001_C_085_03_a.jpg,UD_001_C_085_03_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.133891,4,READY
UD_001_C_085_04,UD_001_C_085,UD_001_C_085_04_a.jpg,UD_001_C_085_04_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.133891,4,READY
UD_001_D_062_01,UD_001_D_062,UD_001_D_062_01_a.jpg,UD_001_D_062_01_b.jpg,left,270,human-corrected,0,wario-verified,0.023738,4,READY
UD_001_D_062_02,UD_001_D_062,UD_001_D_062_02_a.jpg,UD_001_D_062_02_b.jpg,left,270,human-corrected,0,wario-verified,0.023738,4,READY
UD_001_D_062_03,UD_001_D_062,UD_001_D_062_03_a.jpg,UD_001_D_062_03_b.jpg,left,270,human-corrected,0,wario-verified,0.023738,4,READY
UD_001_D_062_04,UD_001_D_062,UD_001_D_062_04_a.jpg,UD_001_D_062_04_b.jpg,left,270,human-corrected,0,wario-verified,0.023738,4,READY
UD_001_D_063_01,UD_001_D_063,UD_001_D_063_01_a.jpg,UD_001_D_063_01_b.jpg,left,270,human-corrected,0,wario-verified,0.04603,4,READY
UD_001_D_063_02,UD_001_D_063,UD_001_D_063_02_a.jpg,UD_001_D_063_02_b.jpg,left,270,human-corrected,0,wario-verified,0.04603,4,READY
UD_001_D_063_03,UD_001_D_063,UD_001_D_063_03_a.jpg,UD_001_D_063_03_b.jpg,left,270,human-corrected,0,wario-verified,0.04603,4,READY
UD_001_D_063_04,UD_001_D_063,UD_001_D_063_04_a.jpg,UD_001_D_063_04_b.jpg,left,270,human-corrected,0,wario-verified,0.04603,4,READY
UD_001_D_064_01,UD_001_D_064,UD_001_D_064_01_a.jpg,UD_001_D_064_01_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.021218,4,READY
UD_001_D_064_02,UD_001_D_064,UD_001_D_064_02_a.jpg,UD_001_D_064_02_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.021218,4,READY
UD_001_D_064_03,UD_001_D_064,UD_001_D_064_03_a.jpg,UD_001_D_064_03_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.021218,4,READY
UD_001_D_064_04,UD_001_D_064,UD_001_D_064_04_a.jpg,UD_001_D_064_04_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.021218,4,READY
UD_001_D_087_01,UD_001_D_087,UD_001_D_087_01_a.jpg,UD_001_D_087_01_b.jpg,left,270,human-corrected,0,wario-verified,0.143826,4,READY
UD_001_D_087_02,UD_001_D_087,UD_001_D_087_02_a.jpg,UD_001_D_087_02_b.jpg,left,270,human-corrected,0,wario-verified,0.143826,4,READY
UD_001_D_087_03,UD_001_D_087,UD_001_D_087_03_a.jpg,UD_001_D_087_03_b.jpg,left,270,human-corrected,0,wario-verified,0.143826,4,READY
UD_001_D_087_04,UD_001_D_087,UD_001_D_087_04_a.jpg,UD_001_D_087_04_b.jpg,left,270,human-corrected,0,wario-verified,0.143826,4,READY
UD_001_D_088_01,UD_001_D_088,UD_001_D_088_01_a.jpg,UD_001_D_088_01_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.12821,4,READY
UD_001_D_088_02,UD_001_D_088,UD_001_D_088_02_a.jpg,UD_001_D_088_02_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.12821,4,READY
UD_001_D_088_03,UD_001_D_088,UD_001_D_088_03_a.jpg,UD_001_D_088_03_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.12821,4,READY
UD_001_D_088_04,UD_001_D_088,UD_001_D_088_04_a.jpg,UD_001_D_088_04_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.12821,4,READY
UD_001_E_065_01,UD_001_E_065,UD_001_E_065_01_a.jpg,UD_001_E_065_01_b.jpg,top,180,human-confirmed-turtle,0,wario-verified,0.038252,4,READY
UD_001_E_065_02,UD_001_E_065,UD_001_E_065_02_a.jpg,UD_001_E_065_02_b.jpg,top,180,human-confirmed-turtle,0,wario-verified,0.038252,4,READY
UD_001_E_065_03,UD_001_E_065,UD_001_E_065_03_a.jpg,UD_001_E_065_03_b.jpg,top,180,human-confirmed-turtle,0,wario-verified,0.038252,4,READY
UD_001_E_065_04,UD_001_E_065,UD_001_E_065_04_a.jpg,UD_001_E_065_04_b.jpg,top,180,human-confirmed-turtle,0,wario-verified,0.038252,4,READY
UD_001_E_090_01,UD_001_E_090,UD_001_E_090_01_a.jpg,UD_001_E_090_01_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.142223,4,READY
UD_001_E_090_02,UD_001_E_090,UD_001_E_090_02_a.jpg,UD_001_E_090_02_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.142223,4,READY
UD_001_E_090_03,UD_001_E_090,UD_001_E_090_03_a.jpg,UD_001_E_090_03_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.142223,4,READY
UD_001_E_090_04,UD_001_E_090,UD_001_E_090_04_a.jpg,UD_001_E_090_04_b.jpg,left,270,human-confirmed-turtle,0,wario-verified,0.142223,4,READY
UD_001_E_091_01,UD_001_E_091,UD_001_E_091_01_a.jpg,UD_001_E_091_01_b.jpg,left,270,human-corrected,0,wario-verified,0.154838,4,READY
UD_001_E_091_02,UD_001_E_091,UD_001_E_091_02_a.jpg,UD_001_E_091_02_b.jpg,left,270,human-corrected,0,wario-verified,0.154838,4,READY
UD_001_E_091_03,UD_001_E_091,UD_001_E_091_03_a.jpg,UD_001_E_091_03_b.jpg,left,270,human-corrected,0,wario-verified,0.154838,4,READY
UD_001_E_091_04,UD_001_E_091,UD_001_E_091_04_a.jpg,UD_001_E_091_04_b.jpg,left,270,human-corrected,0,wario-verified,0.154838,4,READY
UD_001_E_092_01,UD_001_E_092,UD_001_E_092_01_a.jpg,UD_001_E_092_01_b.jpg,left,270,human-corrected,90,wario-verified,0.12785,4,READY
UD_001_E_092_02,UD_001_E_092,UD_001_E_092_02_a.jpg,UD_001_E_092_02_b.jpg,left,270,human-corrected,90,wario-verified,0.12785,4,READY
UD_001_E_092_03,UD_001_E_092,UD_001_E_092_03_a.jpg,UD_001_E_092_03_b.jpg,left,270,human-corrected,90,wario-verified,0.12785,4,READY
UD_001_E_092_04,UD_001_E_092,UD_001_E_092_04_a.jpg,UD_001_E_092_04_b.jpg,left,270,human-corrected,90,wario-verified,0.12785,4,READY
UD_001_F_093_01,UD_001_F_093,UD_001_F_093_01_a.jpg,UD_001_F_093_01_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.146435,4,READY
UD_001_F_093_02,UD_001_F_093,UD_001_F_093_02_a.jpg,UD_001_F_093_02_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.146435,4,READY
UD_001_F_093_03,UD_001_F_093,UD_001_F_093_03_a.jpg,UD_001_F_093_03_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.146435,4,READY
UD_001_F_093_04,UD_001_F_093,UD_001_F_093_04_a.jpg,UD_001_F_093_04_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.146435,4,READY
UD_001_F_094_01,UD_001_F_094,UD_001_F_094_01_a.jpg,UD_001_F_094_01_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.131765,4,READY
UD_001_F_094_02,UD_001_F_094,UD_001_F_094_02_a.jpg,UD_001_F_094_02_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.131765,4,READY
UD_001_F_094_03,UD_001_F_094,UD_001_F_094_03_a.jpg,UD_001_F_094_03_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.131765,4,READY
UD_001_F_094_04,UD_001_F_094,UD_001_F_094_04_a.jpg,UD_001_F_094_04_b.jpg,left,270,human-confirmed-turtle,90,wario-verified,0.131765,4,READY
UD_001_G_097_01,UD_001_G_097,UD_001_G_097_01_a.jpg,UD_001_G_097_01_b.jpg,left,270,human-corrected,270,human-corrected,0.179223,4,READY
UD_001_G_097_02,UD_001_G_097,UD_001_G_097_02_a.jpg,UD_001_G_097_02_b.jpg,left,270,human-corrected,270,human-corrected,0.179223,4,READY
UD_001_G_097_03,UD_001_G_097,UD_001_G_097_03_a.jpg,UD_001_G_097_03_b.jpg,left,270,human-corrected,270,human-corrected,0.179223,4,READY
UD_001_G_097_04,UD_001_G_097,UD_001_G_097_04_a.jpg,UD_001_G_097_04_b.jpg,left,270,human-corrected,270,human-corrected,0.179223,4,READY
UD_001_G_098_01,UD_001_G_098,UD_001_G_098_01_a.jpg,UD_001_G_098_01_b.jpg,left,270,human-corrected,90,wario-verified,0.15817,4,READY
UD_001_G_098_02,UD_001_G_098,UD_001_G_098_02_a.jpg,UD_001_G_098_02_b.jpg,left,270,human-corrected,90,wario-verified,0.15817,4,READY
UD_001_G_098_03,UD_001_G_098,UD_001_G_098_03_a.jpg,UD_001_G_098_03_b.jpg,left,270,human-corrected,90,wario-verified,0.15817,4,READY
UD_001_G_098_04,UD_001_G_098,UD_001_G_098_04_a.jpg,UD_001_G_098_04_b.jpg,left,270,human-corrected,90,wario-verified,0.15817,4,READY
UD_002_A_0099_01,UD_002_A_0099,UD_002_A_0099_01_a.jpg,UD_002_A_0099_01_b.jpg,bottom,0,human-corrected,270,wario-verified,0.104539,4,READY
UD_002_A_0099_02,UD_002_A_0099,UD_002_A_0099_02_a.jpg,UD_002_A_0099_02_b.jpg,bottom,0,human-corrected,270,wario-verified,0.104539,4,READY
UD_002_A_0099_03,UD_002_A_0099,UD_002_A_0099_03_a.jpg,UD_002_A_0099_03_b.jpg,bottom,0,human-corrected,270,wario-verified,0.104539,4,READY
UD_002_A_0099_04,UD_002_A_0099,UD_002_A_0099_04_a.jpg,UD_002_A_0099_04_b.jpg,bottom,0,human-corrected,270,wario-verified,0.104539,4,READY
UD_002_A_0101_01,UD_002_A_0101,UD_002_A_0101_01_a.jpg,UD_002_A_0101_01_b.jpg,left,270,human-corrected,0,wario-verified,0.086899,4,READY
UD_002_A_0101_02,UD_002_A_0101,UD_002_A_0101_02_a.jpg,UD_002_A_0101_02_b.jpg,left,270,human-corrected,0,wario-verified,0.086899,4,READY
UD_002_A_0101_03,UD_002_A_0101,UD_002_A_0101_03_a.jpg,UD_002_A_0101_03_b.jpg,left,270,human-corrected,0,wario-verified,0.086899,4,READY
